task,model,n,mae,r2,acc,top3,macro_f1
catalyst_class,logreg,2337,,,0.6021,0.8605,0.2306
catalyst_class,majority,2337,,,0.6979,0.7356,0.0931
ec1,logreg,1739,,,0.7244,0.9502,0.57
ec1,majority,1739,,,0.4646,0.8769,0.1071
ph,mean,1364,0.7361,-0.0136,,,
ph,mean_by_ec1,1364,0.7393,-0.0111,,,
ph,ridge_drfp,1364,0.9253,-0.4595,,,
ph,ridge_drfp+ec1,1364,0.9447,-0.5256,,,
solvent_top12,logreg,2227,,,0.5873,0.7893,0.1226
solvent_top12,majority,2227,,,0.7063,0.7185,0.0707
temperature_c,mean,2039,14.9616,-0.0064,,,
temperature_c,mean_by_ec1,2039,13.191,0.1067,,,
temperature_c,ridge_drfp,2039,17.4924,-0.2456,,,
temperature_c,ridge_drfp+ec1,2039,16.8584,-0.1567,,,
transformation_superclass,logreg,2365,,,0.5831,0.8231,0.5163
transformation_superclass,majority,2365,,,0.2347,0.4144,0.0318
